('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('$上证指数 sh000001$ 开盘30分钟 次新股开盘高举高打先锋龙头万兴科技四连板，开板次新泰永长征、江苏租赁二连板。独角兽方面小米概念华东科技、麦达数字、九安医疗相继涨停。芯片方面中军龙头兆易创新再创新高；全志科技、阿石创相继涨停。芯片的强势带动5G中军中兴通讯走强纵横通信、广和通双双涨停 ...展开全文c', '2018-03-05 21:30:57')
('5G和芯片一起上攻，创业板指有点无视上证50的感觉，河西河东啊，又到了改变思维的时候？$阿石创 sz300706$ $纵横通信 sh603602$', '2018-03-05 21:30:12')
('目前盘面全是次新股+的概念股在炒作次新+5G，纵横通信、次新+芯片等纵横通信涨停后对5G概念板块带动还是很强的', '2018-03-05 21:29:16')
('一直不动。机会来了就搞一波咯。慢慢来咯。不过中通国脉的确涨得不去纵横通信。慢慢来吧，慢慢滚雪球。', '2018-03-05 21:28:43')
('#纤尘御术# 纵横通信直线拉升封涨停带动5G概念，广和通、大唐电信、华星创业、吉大通信等多只板块内个股现不同幅度快速拉升。', '2018-03-05 21:27:09')
('老梁出品，必属精品，来一波点赞支持，老梁近期非常看好的5G概念刚刚也开始异动，直播重点推荐的纵横通信603602强势涨停，美格智能002881快速拉升5%以上，前面这两支股在调整的时候，老梁也非常坚定的说是金子总会发光的，最近两天的表现也证实了老梁的判断是正确的，恭喜一起潜伏的铁粉，剑桥科技6030 ...展开全文c', '2018-03-05 21:26:02')
('10:24:26 5G板块异动，龙头纵横通信直线封板，富春股份大涨6%，广和通、佳力图、中通国脉涨4%。', '2018-03-05 21:24:35')
('芯片启动之后，5g果然随之而来，这两兄弟一直都是共同进退的节奏。但说到底还是昨天说的科技股发散方向。#纵横通信 sh603602[股票]#', '2018-03-05 21:23:52')
('关注5G相关个股：$中兴通讯 sz000063$光迅科技 sz002281$纵横通信 sh603602$中天科技 sh600522$亨通光电 sh600487$莲子豆豆的粉丝群:群内每天提示强势个股买卖点,加群请扫描头条文章下面二维码发红包896元(三个月),谢谢!*风险提示:微博个股只是个人操作日志,据此买卖风险自担.投资有风险，操作须 ...展开全文c', '2018-03-04 20:03:58')
('可喜可贺，老梁本周开始就重点推荐的5G概念三剑客剑桥科技603083，美格智能002881，纵横通信603602也是一直稳步上涨的，春季行情科技股将会出现井喷行情，大家密切关注！', '2018-02-28 21:30:09')
('发布了头条文章：《A股惊现爆炸走势：万科A 纵横通信 上汽集团 科华控股》 $万科Ａ sz000002$ $纵横通信 sh603602$ $上汽集团 sh600104$ $科华控股 sh603161$ #上证快讯# |A股惊现爆...', '2018-02-27 22:49:06')
('个股方面：昨天直播重点点评分享的5G概念三剑客大家依旧要重点关注，剑桥科技603083和美格智能002881今天表现强硬，逆势拉升，目前就纵横通信603602没有翻红，但是坚信是金子总会发光的，重点关注！', '2018-02-27 21:46:24')
('咱们的纵横通信开飞机了，，不过被60天线压住了，，稳健点操作，可以先卖出，落袋，，大盘今天太弱了，，防明天补跌！！赚钱的来赞呀，，下一回还想赚钱，猛赞呀，，', '2018-02-27 00:53:55')
('创业板太强了，最近风口就在创业板，有时候选择大于努力，如果你前几天没有看到创业板的突破，而继续坚守蓝筹，可能这几天你会持仓踏空，（没说蓝筹未来不会涨，只是时间结点和速度慢了些）。推荐的5G三剑客逆势拉升，其中剑桥科技603083最高大涨7%，纵横通信603602，美格智能002881也有不错的表现。', '2018-02-26 21:47:34')
('看看今天市场的真实情况，涨跌互现，虽然翻绿家数增多，但是跌幅大的家数并不多，这样的行情还有很多操作机会，别一看指数犹豫了就不敢参与了，刚刚提示低吸的5G概念股之剑桥科技603083就开始火箭发射大涨5%，一起点评的纵横通信和美格智能纷纷拉升。', '2018-02-26 21:28:01')
('$上证指数 sh000001$ #微博股票#09：15 牛股早知道（跟风追涨有风险，买卖操作需谨慎）：高送转：300677英科医疗、300586美联新材、002863今飞凯达5G：300638广和通、603559中通国脉、603602纵横通信', '2018-02-26 20:14:49')
('分析是对的.今年侧重点在农产品上.过了年.期货上豆粕,苹果等都有好的表现.我看油脂也调整到位了.股票上,受美国玉米政策..农产品都有好的表现..今年还是看重农村这一块.登海种业,敦煌种业都表现很好.还是坚持自己选的股诺普信,后面也要把5G概念加入:纵横通信.中兴通信和紫光国芯..大家选好股或是商品.尽 ...展开全文c', '2018-02-23 21:08:38')
('#今日看盘##投资达人说##股票##短线牛股# $上证指数 sh000001$ 5G商用推进超预期，行业即将迎来大规模投资。   5G概念股：中兴通讯（000063）、亨通光电（600487）、武汉凡谷（002194）、纵横通信（603602）', '2018-02-22 10:35:09')
('谁手里有票拿不住的有问题的带票咨询，看到一一回复，5g芯片重点帮看。$美凯龙 sh601828$ $建设银行 sh601939$ $中石科技 sz300684$$巨化股份 sh600160$ $中国平安 sh601318$ $纵横通信 sh603602$#微博股票# #大盘解析# #超级话题#', '2018-02-21 22:53:36')
('芯片概念，5G概念，有吸筹现象了，不要追高，不要追高，继续等震荡，等主力先吃饱后再逢低介入！表现较强的：紫光国芯，士兰微，北方华创；武汉凡谷，纵横通信！', '2018-02-21 21:33:12')
('5G概念板块异动，武汉凡谷直线涨停，中通国脉大涨6%，纵横通信、吉大通信、星网锐捷纷纷跟涨。$深证成指 sz399001$ $上证指数 sh000001$ $创业板指 sz399006$', '2018-02-21 21:15:23')
('$上证指数 sh000001$ 开盘30分钟 5G芯片大幅低开后再度探底回升5G板块异动，龙头武汉凡谷逆势冲击涨停，纵横通信大涨5%，移为通信、华星创业、中通国脉纷纷跟涨.芯片方面长川科技直线拉板、江丰电子金针探底。权重方面周期资源开始大幅补跌，市场接力不足。整体来看市场经过大幅下挫后下跌动能开始减 ...展开全文c', '2018-02-09 17:42:39')
('昨天复盘的方向没问题，执行力有点问题。5g芯片，锂电池还是最强的，天齐锂业好给面子，纵横通信下午开车没卖出去。 芯片里盈方微也好给力，江丰电子为你点赞，次新中又有妖股风向标了，好日子快来了。 只要美股挺住，题材的春天就要来了。 及时美股不跌，大蓝筹也是需要回调一下子。 坚持就是胜利。 ...展开全文c', '2018-02-09 05:58:26')
('2018年2月9日9点30到10点30盘面：强势板块：文化传媒：中视传媒、宏达新材、欢乐世纪、锂电：寒锐钴业、星源材质、江特电机、先导智能、亿纬锂能基因测序：昌红科技、千山药机、华大基因、中源协和芯片：亿晶光电、长川科技、华灿光电、江化微、上海新阳通信：武汉凡谷、深南股份、纵横通信、华 ...展开全文c', '2018-02-08 23:15:18')
('2月9日上午复盘09:36 黄金板块开盘逆势上行，西部黄金大涨5%，赤峰黄金、山东黄金涨1%09:44 5G板块异动，龙头武汉凡谷逆势冲击涨停，纵横通信大涨7%，移为通信、华星创业、中通国脉纷纷跟涨09:51 锂电池板块逐渐走强，龙头星源材质大涨5%，江特电机涨4%，亿纬锂能、国轩高科、先导智能纷纷拉升...展开全文c', '2018-02-08 23:04:11')
('今天芯片和5G股虽然没继续升温成为超级热点，但在市场跌这么惨的情况下仍能逆市上涨，后面一旦股指跌势放缓，这两个板块就有希望成为超级热点。如果成为超级热点，那么市场持续反弹的预期就成行了，盯住这两个板块吧。#短线牛股#@微博股票$盈方微 sz000670$ $纵横通信 sh603602$', '2018-02-08 21:24:24')
('5G板块异动，武汉凡谷一度逆势冲击涨停，现涨逾5%，纵横通信涨逾5%，移为通信、华星创业、中通国脉跟涨。', '2018-02-08 20:55:32')
('5G整体是超跌反弹 武汉凡谷 深南股份 纵横通信 领涨 大盘暴跌近百点还能强势大涨已实属不易了 5G 芯片是一对孪生兄弟 个人观点是只要房地产 银行不出来吸金 他们反弹应该还没这么快结束', '2018-02-08 20:52:57')
('$纵横通信 sh603602$ 关注5G龙头能否快速上拉封板，快速封板才能带动中小创～$上证指数 sh000001$ $创业板指 sz399006$', '2018-02-08 20:26:57')
('热点板块纵横通信带动5G概念股大涨，纵横通信，华星创业（300025），春兴精工（002547），武汉凡谷（002194）涨停，华脉科技（603042），广和通（300638）涨逾7%，中通国脉（603559），吉大通信（300597），富春通信涨逾5%。高送转概念延续强势，元隆雅图，美联新材（300586），凯龙股份（00 ...展开全文c', '2018-02-08 19:29:09')
('2018.2.8 星期四盘面回顾：早盘竞价智慧农业被顶了一字板，带着4板的高度打开了超跌低价股的空间。成都银行几乎平开，银行补跌，次新也基本闷在水下。乐视网大单跷板，随后5元以下的创业板低价股批量上板，纵横通信带着5g板块也小小的高潮了一把。午后蓝筹继续砸盘，随后大盘在3225止跌，盈趣科技淮 ...展开全文c', '2018-02-08 11:32:03')
('关注同名微信公众号 发发886588#股票# 1# 000816 智慧农业 9:25 超跌+低价+乡村振兴 主营业务为单多缸柴油机、通用小型汽油机及终端产品+农业信息服务 商，电商平台，金融服务+(2017年10月)2亿元增资旗瀚科技10%,涉足服务机器人 42# 300586 美联新材 9:25 超跌+次新+17年报 高送转 +新能源 汽车 -锂 ...展开全文c', '2018-02-08 08:01:06')
('5G可算是企稳了 纵横通信 涨停 华脉科技 广和通助攻 这对科技是个稳定剂 接下来由点带面扩大涨幅 并传导到芯片', '2018-02-08 05:01:24')
('【收盘小结】市场延续分化格局，深强而沪弱，银行煤炭拖累大盘重挫，创业板低开高走长阳逼近5天线。5G（纵横通信、中通国脉）、芯片（盈方微、韦尔股份）、次新（盈趣科技、天永智能）等局部活跃，超跌低价股引爆最强风口，智慧农业四连板，安控科技、合兴包装、西部创业等批量跟风涨停。跌幅榜迅速缩 ...展开全文c', '2018-02-08 03:58:04')
('交易赌的慌，今天由于过分的重视5G，错过了千山药机回封。但纵横通信上板时，我看到封单不够也撤了，没想到回封就是一笔大单直接吃到结束，请问怎么打？问怎么打？怎么打？么打？打？？？？？？，颗粒无收啊', '2018-02-08 03:21:27')
('这一上午够折腾【2月8日上午复盘】09:35 银行板块开盘杀跌，吴江银行、成都银行大跌4%，工商银行、交通银行、建设银行跌3% 09:51 半导体板块持续走强，龙头华灿光电冲击涨停，盈方微涨4%，国科微、北京君正、弘信电子小幅拉升 09:53 5G板块早盘发力，龙头纵横通信直线封板，华脉科技、广和通大涨6% ...展开全文c', '2018-02-07 23:53:42')
('芯片股也出现了涨停，5G，芯片又要齐驱并驾了！$韦尔股份 sh603501$ $纵横通信 sh603602$ $中通国脉 sh603559$', '2018-02-07 21:57:21')
('发布了头条文章：《今日股市行情个股解析:南都物业+嘉友国际+石英股份+N中源》 #上证快讯# #头条文章# $中公高科 sh603860$ $纵横通信 sh603602$ $淳中科技 sh603516$ |今日股市行...', '2018-02-07 21:21:39')
('5G概念拉升，纵横通信涨停、华脉科技、武汉凡谷、广和通、中通国脉等跟涨，消息面上，中兴最早2018年底发布5G商用移动终端#武汉凡谷 sz002194[股票]#', '2018-02-07 21:09:24')
('整点回顾：两市低开，随后市场分化，在乐视网开板的刺激下，中小创强势反弹，前期热点5G半导体表现活跃，而银行板块则一度杀跌，拖累沪指低位盘整，盘面上看，市场个股普涨，题材概念显著复苏。板块方面5G、光通信板块领涨，盘中5G（纵横通信）异动拉升。黄金、有色铜板块领跌。', '2018-02-07 21:07:10')
('$上证指数 sh000001$ #微博股票# 5G板块早盘发力，龙头（603602纵横通信）直线封板，（603042华脉科技）（300638广和通）（603559中通国脉）（300597吉大通信）等纷纷大涨，我们持续分享的刚铁板也不错，（600581八一钢铁）（600782新钢股份）（000761本钢板材）（601003柳钢股份）都在陆陆续续的拉 ...展开全文c', '2018-02-07 21:05:42')
('北京今年将推5G网络试点、全国预计2020年规模化商用纵横通信（603602）将逐步完善包括浙江、北京、江西等多个地域在内的市场覆盖。美格智能（002881）主营物联网技术开发服务、智能终端产品设计研发以及移动智能终端的精密组件制造；华脉科技（603042）主营通信网络物理连接设备的研发，生产和销售， ...展开全文c', '2018-02-07 19:20:59')
('5G概念反弹，武汉凡谷涨超6%，纵横通信、吉大通信、中兴通讯、太辰光等涨幅均较好', '2018-02-04 22:08:24')
('5G板块个股集体反弹，中通国脉大涨7%，武汉凡谷、吉大通信、纵横通信均大涨超4%，中兴通信、超讯通信等个股纷纷跟涨。', '2018-02-04 22:05:40')
('次新股选股要点：看9月26日这根关键K线，如果：1）击穿M21天线后今天重返M5天线之上，构成黄金坑。如：京泉华。2）未击穿M5或M13天线，目前仍保持多头排列。如：开立医疗。上述2种情况可放入自选股池。3）击穿M21天平走至今，使短期均线粘合。如：纵横通信。4）有效跌破M21天线。如：卫信康等等。', '2017-09-29 09:23:05')
('下午开盘我们的5g龙头$吉大通信 sz300597$ ，继续稳步拉升9%再次冲击涨停！也刺激我们周三提示大家不追涨，回落低吸操作的$纵横通信 sh603602$ 也大涨6%哈！继续小波段上涨中#微博自媒体# #原创首发# #今日看盘#', '2017-09-29 01:11:21')
('5G太强了。这次的中通国脉+武汉凡谷+吉大通信带来的5G通信行情和上次的中科信息+纵横通信+建科院带来的次新行情不太一样。次新那波是一路逼空，一致性极强，上车后下车都不容易，一路缩量到头。这次的5g是一路换手，天天大长腿，天天有人早盘割肉，有人低吸，有人涨停打板。。。。。市场真心是最好的老 ...展开全文c', '2017-09-28 23:39:25')
('#盘中快报5G概念全线上涨，中通国脉、武汉凡谷涨停，吉大通信、超讯通信、纵横通信、东方通信等个均出现拉升。★涉及概念：5G★相关个股：通宇通讯002792、超讯通信603322、新易盛300502、★相关个股：纵横通信603602、吉大通信300597、中通国脉603559、超讯通信603322、武汉凡谷002194', '2017-09-28 23:34:24')
('【5G概念股再度活跃 武汉凡谷$武汉凡谷 sz002194$ 涨停】今日早盘，5G概念股再度活跃，截至发稿，中通国脉涨停，武汉凡谷涨停，吉大通信，美格智能，盛路通信，纵横通信，超讯通信等股涨超5%。|5G概念股再...', '2017-09-28 23:08:19')
('本周直播室提示关注的五G：中通国脉、华脉科技、纵横通信、武汉凡谷、吉大通信、超讯通信个个强悍！', '2017-09-28 22:55:50')
('五G：中通国脉、华脉科技、纵横通信、武汉凡谷、吉大通信、超讯通信个个强悍！', '2017-09-28 22:54:23')
('有趣的现象:一个展览会引爆了5G行情，各大券商通信团队纷纷召开电话会议，分析该板块。很有趣的二点:一是该板块没有热之前，这些个团队没怎么说到此概念。二是市场上实际表现好的个股如武汉凡谷，纵横通信，达安股份，吉大通信等，没一个券商推荐这几个票，都看好的是中兴，亨通，中天，烽火等。这 ...展开全文c', '2017-09-28 10:23:28')
('了结了安凯客车和华新水泥。万马科技感觉还不错，买2手新颈刚观察等回调总算把上周汉王跟纵横通信亏的赚回来了 |福州·五凤...', '2017-09-28 03:09:10')
('重点通知：我们的选股方向绝对是正确的，每一只股票都经过了深沉的研究，如成交量，走势图，板块分析，主营构架，市盈率分析，行业未来前景分析等因素才推荐的股票，我们绝对不会在行情不好的时候硬推股票，资金安全稳定的盈利是首要选择，我们推荐的有些当天涨停，如前期的纵横通信（603602）、华脉科 ...展开全文c', '2017-09-27 23:37:02')
('【学会做龙头：跟紧主流，做趋势龙头】过去两周主线是次新：中科信息+建科院+纵横通信+设计总院+朗新科技+达安股份最近一周主线是资源：寒锐钴业+韶钢松山+凌钢... 网页链接 跟紧主流，做趋势龙头 网页链接', '2017-09-27 16:40:31')
('$纵横通信 sh603602$ 反弹永远留下一丝缺口就暴跌，看来明日难以避免。', '2017-09-27 04:47:20')
('纵横通信昨天跌停板今天大阳线，封板就重视。洗盘凶悍模式。$纵横通信 sh603602$', '2017-09-27 02:15:31')
